alpha_i,alpha_j,D_i,D_j,D_acc_j,D_acc_i_pre,D_acc_ij,D_acc_i_span,D_acc_j_span,effective_length_i,effective_length_j,length_i,length_j,Df,pd_pr,pd_pp,Cij
4.605170185988091e-05,4.374911676688687e-05,1.9e-05,-1e-06,6.551,-1.17,-7.78,1.7479999999999998,-0.059,21400.85083698336,21127.66562632656,92000.0,59000.0,251062655771.8125,0.0,0.0,-0.0016013216993576
4.605170185988091e-05,5.295945713886305e-05,1.8e-05,-1e-06,1.0570000000000002,3.2200000000000006,2.1,1.188,-0.063,20675.392055319764,18210.85260776535,66000.0,63000.0,470115097099.59375,0.0,0.0,-0.0017007124623869
4.1446531673892815e-05,3.9143946580898775e-05,7.000000000000001e-06,1.5e-05,-6.285,-9.57,-1.8000000000000005,0.525,1.485,23049.73666558129,25016.66158780473,75000.0,99000.0,170188944394.0,0.0,0.0,-0.0090352174729515
3.9143946580898775e-05,4.835428695287496e-05,6e-06,-5e-06,-1.1949999999999998,3.84,4.59,0.5700000000000001,-0.4449999999999999,24926.814597823628,20401.071684284343,95000.0,89000.0,132762618920.28123,0.0,0.0,-0.0042016969851123
3.9143946580898775e-05,5.0656872045869005e-05,1.1e-05,1.5e-05,-6.5,-12.47,-4.47,0.759,1.4999999999999998,23831.452783624394,19616.103135136866,69000.0,100000.0,464271447222.125,0.0,0.0,0.0425223605656875
4.374911676688687e-05,5.52620422318571e-05,1e-05,0.0,6.26,9.08,2.8200000000000003,1.0,0.0,22569.84412150273,17977.143046780628,100000.0,91000.0,293642767368.375,0.0,0.0,-0.0011983885590611
3.9143946580898775e-05,5.0656872045869005e-05,-1e-06,-6e-06,7.056,12.54,5.009999999999999,-0.081,-0.474,24474.3871091524,19379.779251858294,81000.0,79000.0,367368588555.28125,0.0,0.0,-0.0077236181678253
4.1446531673892815e-05,4.605170185988091e-05,-4e-06,7.000000000000001e-06,-0.1939999999999999,5.62,6.36,-0.368,0.546,23594.735510421568,21116.650931282933,92000.0,78000.0,466477143881.15625,0.0,0.0,-0.0010689093394345
5.0656872045869005e-05,4.374911676688687e-05,-5e-06,1.9e-05,0.4969999999999996,2.8100000000000005,3.7,-0.2699999999999999,1.3869999999999998,18460.21119895489,21919.97600342822,54000.0,73000.0,230908912324.03125,0.0,0.0,0.0032640286038036
3.9143946580898775e-05,3.9143946580898775e-05,2e-05,8e-06,-2.888,-5.82,-2.38,1.4799999999999998,0.5519999999999999,24136.35666805652,23831.452783624394,74000.0,69000.0,419380811506.0,0.0,0.0,0.0001272763274995
