alpha_i,alpha_j,D_i,D_j,D_acc_j,D_acc_i_pre,D_acc_ij,D_acc_i_span,D_acc_j_span,effective_length_i,effective_length_j,length_i,length_j,Df,pd_pr,pd_pp,Cij
4.605170185988091e-05,3.9143946580898775e-05,-5e-06,1.4e-05,2.232,4.15,2.87,-0.475,0.952,21441.3519154276,23762.97846385742,95000.0,68000.0,493499588096.78125,0.0,0.0,-0.021719845605016
4.835428695287496e-05,3.9143946580898775e-05,-4e-06,1.8e-05,-5.262,-4.05,2.13,-0.208,0.918,19007.42349851808,22076.686967557234,52000.0,51000.0,179762563778.96875,0.0,0.0,0.0474682588659535
4.1446531673892815e-05,4.1446531673892815e-05,-6e-06,5e-06,-2.5750000000000006,-2.2700000000000005,0.6,-0.462,0.295,23135.470910670912,22035.711446501293,77000.0,59000.0,214307373740.5937,0.0,0.0,-0.1645775255498171
4.835428695287496e-05,4.835428695287496e-05,1.7e-05,4e-06,6.604,5.52,-0.8400000000000001,1.105,0.244,19788.27840538207,19597.847803339017,65000.0,61000.0,147673181951.46875,0.0,0.0,-0.0392400255143335
4.605170185988091e-05,4.1446531673892815e-05,8e-06,1e-06,-2.842,-5.61,-2.68,0.624,0.088,21116.650931282933,23498.672269204497,78000.0,88000.0,280646701045.15625,0.0,0.0,-0.0016468167344497
4.605170185988091e-05,4.374911676688687e-05,1.8e-05,4e-06,1.6760000000000002,1.5000000000000002,0.18,1.548,0.356,21300.95855751517,22391.98529293308,86000.0,89000.0,469775015080.125,0.0,0.0,-0.0039162415872662
5.0656872045869005e-05,4.374911676688687e-05,3e-06,1.9e-05,4.6240000000000006,3.900000000000001,1.1,0.153,1.824,18250.05650558812,22514.8122850908,51000.0,96000.0,403262850944.84375,0.0,0.0,0.0027022064339438
4.605170185988091e-05,4.605170185988091e-05,-5e-06,1.1e-05,3.484,6.16,3.6,-0.4949999999999999,0.924,21487.34302003165,21261.03920481673,99000.0,84000.0,119864259743.21877,0.0,0.0,-0.0111140979890278
5.0656872045869005e-05,4.605170185988091e-05,0.0,-5e-06,-0.885,-2.97,-2.38,0.0,-0.295,19199.45347987656,20280.04650166593,71000.0,59000.0,144327569412.09375,0.0,0.0,-0.00296267347093
5.295945713886305e-05,4.374911676688687e-05,1.8e-05,-2e-06,-4.748,-5.83,-1.22,1.44,-0.1379999999999999,18609.43551042032,21740.66208316274,80000.0,69000.0,475257237655.2188,0.0,0.0,-0.0273494460247284
5.295945713886305e-05,4.374911676688687e-05,-5e-06,0.0,-4.74,-8.010000000000002,-3.2700000000000005,-0.4999999999999999,0.0,18787.73275667848,21405.39000603608,100000.0,63000.0,389180700646.9688,0.0,0.0,0.0064702761751603
5.0656872045869005e-05,4.605170185988091e-05,1.6e-05,0.0,4.62,5.71,1.09,0.848,0.0,18393.676769898728,20575.119174921907,53000.0,64000.0,217558627763.8437,0.0,0.0,-0.0069783940139906
5.0656872045869005e-05,4.374911676688687e-05,-6e-06,-6e-06,5.886000000000001,12.17,5.839999999999999,-0.42,-0.444,19171.33146494644,21960.112053901124,70000.0,74000.0,472153369517.59375,0.0,0.0,-0.0192982302505341
3.9143946580898775e-05,4.1446531673892815e-05,3e-06,-2e-06,-2.536,-4.77,-2.4,0.267,-0.1659999999999999,24762.69933878068,23353.879508442664,89000.0,83000.0,289936801895.40625,0.0,0.0,0.0021182811510784
4.605170185988091e-05,5.0656872045869005e-05,1.2e-05,-1e-06,-3.4930000000000003,-1.9200000000000004,1.49,0.672,-0.0829999999999999,20067.49382050897,19445.97082528591,56000.0,83000.0,484939610299.0625,0.0,0.0,-0.0052666254292539
3.6841361487904736e-05,5.295945713886305e-05,0.0,1e-05,7.0,10.55,4.47,0.0,0.92,25718.898968652386,18737.806003730337,80000.0,92000.0,203458273210.15625,0.0,0.0,-0.0012284036245011
4.835428695287496e-05,4.835428695287496e-05,-4e-06,4e-06,6.946000000000001,5.7700000000000005,-0.8000000000000002,-0.2759999999999999,0.376,19945.219522790623,20461.12365160599,69000.0,94000.0,437822997378.5,0.0,0.0,-0.0222128371900925
4.374911676688687e-05,4.374911676688687e-05,2e-06,5e-06,-1.6050000000000002,-3.390000000000001,-1.36,0.176,0.425,22371.162708385284,22302.93937700009,88000.0,85000.0,423226460051.9688,0.0,0.0,-0.0088685920608572
3.6841361487904736e-05,3.9143946580898775e-05,1.9e-05,1.6e-05,3.812,-0.2000000000000001,-3.1800000000000006,1.5389999999999997,0.832,25770.424746962424,22209.89417584817,81000.0,52000.0,435334219015.03125,0.0,0.0,-0.0634453258983907
3.9143946580898775e-05,5.52620422318571e-05,1.1e-05,1e-05,-3.44,-4.47,-0.2499999999999999,0.759,0.7799999999999999,23831.452783624394,17852.621990504154,69000.0,78000.0,365949422273.34375,0.0,0.0,0.0215597522148871
3.9143946580898775e-05,5.295945713886305e-05,1.9e-05,9e-06,4.043000000000001,4.730000000000001,1.2,1.368,0.513,24021.50405039783,17959.67737304748,72000.0,57000.0,213352989066.0937,0.0,0.0,0.0612744820576731
4.1446531673892815e-05,3.6841361487904736e-05,8e-06,-2e-06,7.710000000000001,5.850000000000001,-1.96,0.5599999999999999,-0.0999999999999999,22801.56805519923,22841.465319628925,70000.0,50000.0,268108096638.5625,0.0,0.0,-0.0011242164309697
4.374911676688687e-05,5.295945713886305e-05,1.9e-05,-2e-06,0.7800000000000001,0.0300000000000001,-0.86,1.1969999999999998,-0.11,21405.39000603608,17856.583468579312,63000.0,55000.0,305046779160.78125,0.0,0.0,0.0255458672391465
4.374911676688687e-05,3.6841361487904736e-05,1.5e-05,-4e-06,3.502,6.73,2.9799999999999995,0.7949999999999999,-0.248,20608.39066141548,24378.601249290256,53000.0,62000.0,397264871601.53125,0.0,0.0,-0.0149624436403069
5.0656872045869005e-05,5.295945713886305e-05,5e-06,4e-06,6.48,4.98,-1.1,0.2699999999999999,0.3999999999999999,18460.21119895489,18787.73275667848,54000.0,100000.0,237804583682.46875,0.0,0.0,0.0081517946893459
5.295945713886305e-05,4.605170185988091e-05,9e-06,-6e-06,-4.734,-3.27,0.9300000000000002,0.891,-0.534,18782.585797170108,21354.349377093084,99000.0,89000.0,331672524433.625,0.0,0.0,-0.0030766510081183
5.295945713886305e-05,3.9143946580898775e-05,-6e-06,-3e-06,7.657000000000001,6.970000000000001,-0.84,-0.486,-0.153,18623.51382779913,22076.686967557234,81000.0,51000.0,318400188256.21875,0.0,0.0,-0.0248049519765588
4.1446531673892815e-05,5.52620422318571e-05,7.000000000000001e-06,1.6e-05,4.816,4.779999999999999,1.18,0.6090000000000001,1.216,23472.06311413504,17824.226392363547,87000.0,76000.0,362726322999.53125,0.0,0.0,-0.0545310456482367
4.605170185988091e-05,5.52620422318571e-05,-3e-06,1.2e-05,6.714,4.930000000000001,-0.98,-0.168,0.804,20067.49382050897,17649.358714169983,56000.0,67000.0,144055865239.90625,0.0,0.0,-0.0520086574474102
4.1446531673892815e-05,5.295945713886305e-05,9e-06,1.7e-05,-0.185,-6.3100000000000005,-4.85,0.81,1.275,23548.693494770643,18526.69121083377,90000.0,75000.0,145698087408.0,0.0,0.0,-0.0026408866491983
4.1446531673892815e-05,5.52620422318571e-05,1e-05,1.4e-05,-1.932,-2.37,0.36,0.92,0.798,23594.735510421568,17320.119005817112,92000.0,57000.0,420608107631.6875,0.0,0.0,0.0182051708201231
5.295945713886305e-05,4.835428695287496e-05,0.0,-3e-06,1.765,7.73,5.7700000000000005,0.0,-0.195,18661.53959052871,19788.27840538207,84000.0,65000.0,338752473999.3125,0.0,0.0,-0.0065615822715657
3.9143946580898775e-05,3.9143946580898775e-05,0.0,2e-06,4.0520000000000005,1.6,-2.28,0.0,0.172,24926.814597823628,24665.0046916206,95000.0,86000.0,300430151658.875,0.0,0.0,0.0104275902647901
4.835428695287496e-05,5.295945713886305e-05,1e-05,1.1e-05,-3.022,-5.53,-1.54,0.7699999999999999,0.968,20181.15565651063,18703.69678807488,77000.0,88000.0,377927238152.4375,0.0,0.0,-0.0179607163124419
4.835428695287496e-05,4.605170185988091e-05,6e-06,6e-06,6.782,2.4399999999999995,-3.7600000000000007,0.396,0.582,19830.40363771792,21465.405704065925,66000.0,97000.0,419798324885.9375,0.0,0.0,-0.0006526958575893
5.0656872045869005e-05,5.295945713886305e-05,1.5e-05,1e-06,-3.892,-3.53,0.4599999999999999,1.275,0.0979999999999999,19474.3641155106,18777.158910508224,85000.0,98000.0,273255271766.625,0.0,0.0,-0.0471194849433931
4.374911676688687e-05,4.1446531673892815e-05,1.9e-05,-1e-06,6.143,5.88,-0.32,1.4439999999999995,-0.0569999999999999,22035.30351529482,21854.92980389205,76000.0,57000.0,251461651263.8437,0.0,0.0,0.1694769454256811
4.1446531673892815e-05,5.0656872045869005e-05,-3e-06,1.9e-05,4.924,2.5300000000000007,-0.95,-0.177,1.4439999999999995,22035.711446501293,19320.54961178729,59000.0,76000.0,391759797531.8125,0.0,0.0,-0.0276749889442923
5.52620422318571e-05,5.295945713886305e-05,1.1e-05,-4e-06,7.398,4.51,-3.16,0.66,-0.2719999999999999,17438.5917639404,18367.07312957177,60000.0,68000.0,299347826669.0625,0.0,0.0,0.0105557268244068
3.9143946580898775e-05,5.52620422318571e-05,-6e-06,1.1e-05,-0.2219999999999999,-1.28,-0.09,-0.438,0.968,24080.054161918,17955.782198310142,73000.0,88000.0,321736513729.34375,0.0,0.0,-0.0980904899488289
5.0656872045869005e-05,5.295945713886305e-05,1.9e-05,6e-06,-2.454,-2.29,0.65,1.2919999999999998,0.486,19110.62768684981,18623.51382779913,68000.0,81000.0,225953421683.0937,0.0,0.0,0.0001528011096122
5.0656872045869005e-05,4.835428695287496e-05,6e-06,1e-06,-5.721,-7.71,-1.93,0.516,0.059,19487.517770137223,19487.896793497188,86000.0,59000.0,310030588859.21875,0.0,0.0,-0.0002439076311475
4.835428695287496e-05,5.295945713886305e-05,-6e-06,1.3e-05,-3.553,-7.380000000000001,-2.9300000000000006,-0.384,0.897,19744.06618672876,18393.652870992813,64000.0,69000.0,138990333461.71875,0.0,0.0,0.0008031086388975
5.295945713886305e-05,4.1446531673892815e-05,-6e-06,-3e-06,3.5680000000000005,5.0600000000000005,1.24,-0.552,-0.252,18737.806003730337,23385.286843268404,92000.0,84000.0,164937221043.28125,0.0,0.0,-0.0350704763523488
3.9143946580898775e-05,5.295945713886305e-05,0.0,2e-06,6.724,3.69,-2.8600000000000003,0.0,0.174,24762.69933878068,18693.979373048925,89000.0,87000.0,295014786134.4375,0.0,0.0,0.0024517037924328
5.52620422318571e-05,4.374911676688687e-05,-4e-06,7.000000000000001e-06,-0.7500000000000002,-3.73,-2.3500000000000005,-0.344,0.6300000000000001,17939.44223709546,22411.916547411267,86000.0,90000.0,215899632250.4375,0.0,0.0,-0.0045801590286896
5.295945713886305e-05,5.0656872045869005e-05,-3e-06,-3e-06,0.8909999999999999,0.1699999999999999,-1.0,-0.216,-0.279,18465.44518206905,19563.091524627893,72000.0,93000.0,497786996981.125,0.0,0.0,0.0131564309769513
4.374911676688687e-05,3.6841361487904736e-05,7.000000000000001e-06,1.3e-05,-3.84,-7.61,-2.99,0.532,0.78,22035.30351529482,24167.189930751883,76000.0,60000.0,191413331477.03125,0.0,0.0,-0.0052249069192724
4.835428695287496e-05,4.1446531673892815e-05,1.7e-05,1.1e-05,-1.899,-4.75,-2.18,1.071,0.6709999999999999,19697.66358738725,22202.11183202181,63000.0,61000.0,273788126187.8125,0.0,0.0,0.0025261157453589
5.0656872045869005e-05,4.605170185988091e-05,-6e-06,3e-06,6.676,5.21,-1.25,-0.45,0.216,19298.719978784,20926.310116728484,75000.0,72000.0,329598641155.53125,0.0,0.0,-0.0140007367389643
4.605170185988091e-05,3.9143946580898775e-05,2e-06,-2e-06,2.36,3.61,1.07,0.156,-0.18,21116.650931282933,24792.796651907065,78000.0,90000.0,447953940153.9375,0.0,0.0,0.0062582217470663
4.1446531673892815e-05,4.374911676688687e-05,4e-06,-6e-06,-0.122,2.88,2.4799999999999995,0.284,-0.522,22855.39888623317,22349.40893329177,71000.0,87000.0,267671573536.3125,0.0,0.0,-0.0013801183631396
5.295945713886305e-05,4.835428695287496e-05,1.5e-05,1.2e-05,-5.949999999999999,-3.53,3.56,1.4249999999999998,1.14,18759.04225884694,20471.48800730162,95000.0,95000.0,308559404948.75,0.0,0.0,-0.008736987766989
4.374911676688687e-05,5.0656872045869005e-05,1.3e-05,2e-05,3.96,6.290000000000001,4.3100000000000005,0.897,1.98,21740.66208316274,19609.631017021868,69000.0,99000.0,199591880467.46875,0.0,0.0,0.0013779945465801
4.1446531673892815e-05,4.835428695287496e-05,-3e-06,1.7e-05,4.617000000000001,6.0600000000000005,2.82,-0.282,1.377,23637.11486401012,20269.004639967203,94000.0,81000.0,376434258494.15625,0.0,0.0,-0.0034305792891486
4.835428695287496e-05,3.6841361487904736e-05,0.0,2e-05,-3.73,-3.17,2.12,0.0,1.5599999999999998,19908.78254824914,25609.973801552616,68000.0,78000.0,241753156351.0937,0.0,0.0,0.0027623828018275
4.374911676688687e-05,4.605170185988091e-05,2e-05,5e-06,0.765,-3.02,-3.43,1.38,0.355,21740.66208316274,20889.153310661848,69000.0,71000.0,422621368922.4375,0.0,0.0,-0.0124413649854597
4.605170185988091e-05,4.374911676688687e-05,1.1e-05,4e-06,-5.932000000000001,-5.110000000000001,1.21,1.001,0.3879999999999999,21386.05844605337,22529.48581609961,91000.0,97000.0,161233456180.96875,0.0,0.0,-0.0686788766970438
4.374911676688687e-05,5.52620422318571e-05,2e-06,-3e-06,4.933,7.51,2.34,0.19,-0.237,22499.482550558525,17865.685361493313,95000.0,79000.0,476101823188.4688,0.0,0.0,0.0138500772089064
5.295945713886305e-05,3.6841361487904736e-05,0.0,8e-06,-7.322000000000001,-3.66,4.3100000000000005,0.0,0.648,18245.4904437651,25770.424746962424,64000.0,81000.0,355288434714.34375,0.0,0.0,0.0003278470555481
5.295945713886305e-05,4.835428695287496e-05,0.0,6e-06,1.028,1.98,1.54,0.0,0.588,17545.5994408166,20499.736935709065,50000.0,98000.0,155550754540.625,0.0,0.0,9.276535579308512e-05
5.295945713886305e-05,3.6841361487904736e-05,7.000000000000001e-06,1.6e-05,-1.396,-0.2299999999999995,2.51,0.5950000000000001,1.344,18672.930299387244,25914.08687008149,85000.0,84000.0,104979846512.6875,0.0,0.0,-0.0174910299592492
5.295945713886305e-05,4.374911676688687e-05,1.6e-05,1.7e-05,0.616,0.0799999999999999,0.4499999999999999,1.232,0.986,18562.43766656992,21050.302389122942,77000.0,58000.0,251599153388.4375,0.0,0.0,0.2442168564073507
4.374911676688687e-05,4.605170185988091e-05,-4e-06,7.000000000000001e-06,-2.636,-4.220000000000001,-1.22,-0.3,0.364,21998.530043458977,19734.31772032147,75000.0,52000.0,362444380549.9688,0.0,0.0,-0.0088602469050404
5.0656872045869005e-05,4.374911676688687e-05,-6e-06,0.0,0.67,-3.95,-4.62,-0.318,0.0,18393.676769898728,22035.30351529482,53000.0,76000.0,340992586326.6875,0.0,0.0,-0.0005322865207545
4.835428695287496e-05,4.835428695287496e-05,-2e-06,6e-06,-6.87,-3.57,3.72,-0.106,0.42,19086.408077798867,19979.93653236237,53000.0,70000.0,265805550934.75,0.0,0.0,0.0079520264033397
4.1446531673892815e-05,3.9143946580898775e-05,1.6e-05,0.0,6.66,8.95,2.29,1.584,0.0,23728.894609466308,23009.64705478673,99000.0,59000.0,279602398152.25,0.0,0.0,-0.0131563766616016
4.835428695287496e-05,4.835428695287496e-05,1e-05,-4e-06,7.708,5.25,-2.73,0.57,-0.2719999999999999,19366.781434032644,19908.78254824914,57000.0,68000.0,279386515688.125,0.0,0.0,0.0166841169590266
5.295945713886305e-05,3.9143946580898775e-05,-5e-06,-6e-06,-6.88,-7.84,-1.29,-0.3349999999999999,-0.33,18339.047798507963,22579.61232369104,67000.0,55000.0,402081033102.125,0.0,0.0,-0.0178462056994067
3.9143946580898775e-05,4.835428695287496e-05,1.5e-05,1e-05,-3.72,-4.449999999999999,-0.06,1.17,0.6699999999999999,24340.76732412514,19870.540397496126,78000.0,67000.0,213360255765.5625,0.0,0.0,0.7650070724725021
4.835428695287496e-05,3.9143946580898775e-05,-1e-06,4e-06,5.482,9.22,4.13,-0.0499999999999999,0.3919999999999999,18837.521212428263,24995.5010000427,50000.0,98000.0,149196672764.71875,0.0,0.0,0.0018037061982225
4.605170185988091e-05,4.605170185988091e-05,8e-06,2e-06,-6.354,-5.91,0.6,0.528,0.156,20675.392055319764,21116.650931282933,66000.0,78000.0,287749099137.4375,0.0,0.0,-0.0608315607038753
4.374911676688687e-05,3.9143946580898775e-05,4e-06,1.7e-05,4.248,-1.7999999999999998,-4.79,0.308,1.258,22070.50286451702,24136.35666805652,77000.0,74000.0,110864527446.59377,0.0,0.0,-0.0036596442471797
5.295945713886305e-05,4.374911676688687e-05,1.6e-05,1e-06,-6.455000000000001,-10.920000000000002,-4.39,0.928,0.075,18007.271213634736,21998.530043458977,58000.0,75000.0,234885308802.71875,0.0,0.0,-0.0036308874281073
3.9143946580898775e-05,3.9143946580898775e-05,1.4e-05,2e-05,-3.33,-5.63,-1.12,1.2600000000000002,1.18,24792.796651907065,23009.64705478673,90000.0,59000.0,197093054655.0,0.0,0.0,-0.1046140896331272
4.1446531673892815e-05,4.605170185988091e-05,1.8e-05,1.3e-05,5.706,6.08,1.4400000000000002,0.954,1.066,21445.14369176307,21217.268504978743,53000.0,82000.0,483766884377.875,0.0,0.0,0.0212057018766675
5.295945713886305e-05,4.835428695287496e-05,9e-06,1.5e-05,3.085,0.54,-1.33,0.792,1.215,18703.69678807488,20269.004639967203,88000.0,81000.0,390691591327.5,0.0,0.0,0.0360477838505919
4.1446531673892815e-05,4.605170185988091e-05,-2e-06,5e-06,7.215000000000001,9.18,2.41,-0.154,0.4449999999999999,23135.470910670912,21354.349377093084,77000.0,89000.0,414750873700.0,0.0,0.0,-0.0065420686689424
4.1446531673892815e-05,5.295945713886305e-05,1.8e-05,1.2e-05,8.824,9.63,1.91,1.494,1.104,23353.879508442664,18737.806003730337,83000.0,92000.0,479350164309.34375,0.0,0.0,0.0136341813873077
5.295945713886305e-05,3.6841361487904736e-05,-1e-06,1.9e-05,0.2589999999999998,-4.04,-3.14,-0.096,1.1589999999999998,18765.403630241355,24274.84254001429,96000.0,61000.0,419691348513.25,0.0,0.0,-0.0109277217775401
5.295945713886305e-05,4.1446531673892815e-05,1.8e-05,-6e-06,2.6860000000000004,0.0200000000000004,-3.17,1.566,-0.504,18693.979373048925,23385.286843268404,87000.0,84000.0,224602540058.90625,0.0,0.0,-0.0010016572889233
4.374911676688687e-05,4.1446531673892815e-05,1e-06,1.4e-05,8.838000000000001,6.730000000000001,-0.7499999999999996,0.09,1.358,22411.916547411267,23694.44737761423,90000.0,97000.0,118651600405.75,0.0,0.0,-0.0470608820545867
4.1446531673892815e-05,4.374911676688687e-05,-4e-06,-1e-06,2.41,-1.5200000000000005,-4.000000000000001,-0.3959999999999999,-0.0699999999999999,23728.894609466308,21788.47383252237,99000.0,70000.0,310951748507.03125,0.0,0.0,-0.0054207992305139
5.0656872045869005e-05,3.9143946580898775e-05,6e-06,1.8e-05,-1.4200000000000002,-0.3700000000000001,2.04,0.588,0.99,19602.82259552201,22579.61232369104,98000.0,55000.0,233426540747.875,0.0,0.0,0.0028693710589578
5.295945713886305e-05,5.295945713886305e-05,7.000000000000001e-06,1.1e-05,-1.2479999999999998,0.2200000000000002,2.37,0.5670000000000001,0.902,18623.51382779913,18636.86596393341,81000.0,82000.0,381430774614.9375,0.0,0.0,-0.0137209524994872
3.9143946580898775e-05,3.6841361487904736e-05,7.000000000000001e-06,3e-06,-4.486,-5.5,-0.75,0.686,0.264,24995.5010000427,26082.529841798463,98000.0,88000.0,332083365698.875,0.0,0.0,-0.0728829604843212
4.1446531673892815e-05,4.835428695287496e-05,-3e-06,0.0,-1.18,-1.03,0.15,-0.21,0.0,22801.56805519923,19233.368104593206,70000.0,55000.0,497229173817.09375,0.0,0.0,0.0019431405496941
5.0656872045869005e-05,3.9143946580898775e-05,1.7e-05,-6e-06,-2.6180000000000003,4.52,6.82,0.918,-0.318,18460.21119895489,22337.987862909955,54000.0,53000.0,373110376372.59375,0.0,0.0,0.0001969492642134
4.605170185988091e-05,4.605170185988091e-05,7.000000000000001e-06,0.0,6.05,3.6,-2.45,0.5740000000000001,0.0,21217.268504978743,21414.97746065104,82000.0,93000.0,140978462637.25,0.0,0.0,0.0068931451198986
5.0656872045869005e-05,5.0656872045869005e-05,1.9e-05,1.3e-05,-4.602,-4.59,1.0000000000000002,1.843,0.988,19595.660395683244,19320.54961178729,97000.0,76000.0,372508371311.375,0.0,0.0,0.0257141432025391
5.52620422318571e-05,5.295945713886305e-05,1.7e-05,1.8e-05,-0.5699999999999998,-9.58,-7.66,1.088,1.35,17568.891586486465,18526.69121083377,64000.0,75000.0,464990765354.03125,0.0,0.0,0.014231558664279
3.9143946580898775e-05,3.9143946580898775e-05,-4e-06,1.4e-05,4.454,3.01,-0.4499999999999998,-0.3919999999999999,0.994,24995.5010000427,23960.616608716475,98000.0,71000.0,358200854245.0625,0.0,0.0,0.0349689134903957
5.295945713886305e-05,4.835428695287496e-05,6e-06,4e-06,-1.5400000000000005,-0.2300000000000002,1.55,0.534,0.24,18712.91296390105,19544.201190170766,89000.0,60000.0,278161002804.28125,0.0,0.0,0.0122542601218085
4.1446531673892815e-05,5.52620422318571e-05,1.2e-05,-5e-06,-2.11,2.39,4.24,0.672,-0.2599999999999999,21758.76169310596,17073.315867701745,56000.0,52000.0,414240210658.5,0.0,0.0,0.0119461599495162
3.9143946580898775e-05,3.9143946580898775e-05,1.1e-05,7.000000000000001e-06,-4.162,-8.45,-3.91,0.781,0.378,23960.616608716475,22461.164325172,71000.0,54000.0,425374948504.625,0.0,0.0,-0.0079100562375173
3.9143946580898775e-05,5.0656872045869005e-05,8e-06,1.9e-05,7.865,8.02,1.77,0.7999999999999999,1.6149999999999998,25037.009868814523,19474.3641155106,100000.0,85000.0,353082967198.90625,0.0,0.0,0.0149187929185958
5.295945713886305e-05,5.52620422318571e-05,-1e-06,1e-05,-0.1,0.84,1.46,-0.061,0.5199999999999999,18135.822946122567,17073.315867701745,61000.0,52000.0,164101192987.34375,0.0,0.0,-0.0048018185174145
4.835428695287496e-05,3.9143946580898775e-05,-2e-06,-4e-06,-0.382,6.160000000000001,6.3100000000000005,-0.0999999999999999,-0.2319999999999999,18837.521212428263,22908.36611404528,50000.0,58000.0,197478872905.4375,0.0,0.0,-0.0049468433934314
3.9143946580898775e-05,4.835428695287496e-05,1.6e-05,7.000000000000001e-06,-1.005,-0.7699999999999998,0.8300000000000002,1.44,0.5950000000000001,24792.796651907065,20341.404335598912,90000.0,85000.0,224105125743.0937,0.0,0.0,-0.0277400689535263
5.295945713886305e-05,5.0656872045869005e-05,1.7e-05,2e-05,1.88,5.15,4.93,1.377,1.66,18623.51382779913,19445.97082528591,81000.0,83000.0,308936720234.53125,0.0,0.0,-0.0235538589954713
5.0656872045869005e-05,4.835428695287496e-05,-6e-06,2e-06,1.084,-4.49,-5.45,-0.306,0.124,18250.05650558812,19648.962090578585,51000.0,62000.0,137315944411.625,0.0,0.0,-0.0088715199972883
4.835428695287496e-05,4.835428695287496e-05,2e-05,1.3e-05,-4.173,-10.98,-5.91,1.82,0.897,20426.846716838816,19945.219522790623,91000.0,69000.0,325966926811.03125,0.0,0.0,-0.0068767993122837
5.52620422318571e-05,4.835428695287496e-05,1.4e-05,-6e-06,3.636,4.18,-0.02,1.064,-0.5640000000000001,17824.226392363547,20461.12365160599,76000.0,94000.0,232480125252.9375,0.0,0.0,-0.0199502450818192
3.9143946580898775e-05,3.9143946580898775e-05,0.0,1e-06,-7.913,-1.92,6.08,0.0,0.087,23540.71362310333,24698.852279665567,65000.0,87000.0,133276485604.875,0.0,0.0,0.0027521823219547
4.1446531673892815e-05,3.6841361487904736e-05,1e-05,1.6e-05,-0.4980000000000002,-5.79,-3.98,0.6399999999999999,1.3119999999999998,22427.225043025664,25820.086787562457,64000.0,82000.0,383662025595.28125,0.0,0.0,-0.0116302296938979
3.6841361487904736e-05,5.295945713886305e-05,3e-06,1.2e-05,0.55,-3.73,-3.3800000000000003,0.165,0.9,23565.20744841058,18526.69121083377,55000.0,75000.0,319928431724.15625,0.0,0.0,-0.0014936207464236
5.52620422318571e-05,4.605170185988091e-05,6e-06,1.8e-05,-2.8680000000000003,-3.16,1.04,0.378,1.332,17538.965132451303,20995.68200093097,63000.0,74000.0,210291072941.125,0.0,0.0,-0.0269598732759869
5.295945713886305e-05,3.9143946580898775e-05,5e-06,-5e-06,-4.055,-8.41,-4.79,0.4949999999999999,-0.4349999999999999,18782.585797170108,24698.852279665567,99000.0,87000.0,283675891104.625,0.0,0.0,-0.0068193913635953
3.6841361487904736e-05,4.605170185988091e-05,7.000000000000001e-06,-6e-06,-3.142,3.5300000000000007,6.24,0.462,-0.432,24757.43869065098,20926.310116728484,66000.0,72000.0,171199509990.8125,0.0,0.0,0.0078747423165408
3.9143946580898775e-05,5.0656872045869005e-05,3e-06,1.7e-05,0.421,5.340000000000001,5.82,0.279,0.901,24876.332092720662,18393.676769898728,93000.0,53000.0,223500478303.9375,0.0,0.0,-0.0058010752054091
3.9143946580898775e-05,4.374911676688687e-05,1e-06,1.9e-05,2.979,7.65,6.21,0.0839999999999999,1.5389999999999997,24593.201971366583,22196.86414129743,84000.0,81000.0,428921764671.25,0.0,0.0,0.0086247356447879
3.9143946580898775e-05,3.9143946580898775e-05,4e-06,1.9e-05,2.6899999999999995,2.1899999999999995,1.02,0.2799999999999999,1.5199999999999998,23897.29853026629,24431.578834277698,70000.0,80000.0,451869193994.28125,0.0,0.0,0.0070847784086678
5.0656872045869005e-05,4.605170185988091e-05,2e-05,0.0,0.33,-4.4,-4.73,1.7799999999999998,0.0,19523.20715754174,21453.655690291154,89000.0,96000.0,142348836613.28125,0.0,0.0,-0.0026482951569567
4.374911676688687e-05,4.835428695287496e-05,7.000000000000001e-06,3e-06,3.4120000000000004,-0.5299999999999998,-3.75,0.6090000000000001,0.192,22349.40893329177,19744.06618672876,87000.0,64000.0,481435758610.1875,0.0,0.0,-0.0022772057156809
5.295945713886305e-05,3.9143946580898775e-05,1e-05,1.7e-05,2.072,7.660000000000001,7.050000000000001,0.73,1.462,18486.95074185403,24665.0046916206,73000.0,86000.0,113019450920.53123,0.0,0.0,-0.0048215341710948
5.295945713886305e-05,3.9143946580898775e-05,1.6e-05,1.7e-05,-0.094,4.63,5.88,0.7999999999999999,1.156,17545.5994408166,23762.97846385742,50000.0,68000.0,341283403227.78125,0.0,0.0,0.00231306117528
3.9143946580898775e-05,3.9143946580898775e-05,3e-06,-1e-06,-1.285,3.43,4.62,0.15,-0.095,21938.162105421696,24926.814597823628,50000.0,95000.0,114063573318.78123,0.0,0.0,0.0037308881766912
4.374911676688687e-05,4.835428695287496e-05,1e-06,-4e-06,3.788,11.26,7.18,0.076,-0.292,22035.30351529482,20074.56067945974,76000.0,73000.0,197928004436.78125,0.0,0.0,0.0052188123438938
4.835428695287496e-05,5.295945713886305e-05,-1e-06,1e-05,5.920000000000001,3.960000000000001,-1.39,-0.062,0.57,19648.962090578585,17959.67737304748,62000.0,57000.0,471429013765.625,0.0,0.0,0.0084305768481981
4.605170185988091e-05,4.374911676688687e-05,4e-06,9e-06,-0.5229999999999999,4.09,5.09,0.376,0.477,21428.468281519177,20608.39066141548,94000.0,53000.0,280590456043.03125,0.0,0.0,0.0010187165273476
